"","RIZ.BLANK.4","RIZ.ExrNTC.1","RIZ.ExrNTC.3","RIZ.ExrNTC.4","RIZ.ExrPTC.1","RIZ.ExrPTC.2","RIZ.ExrPTC.3","RIZ.ExrPTC.4","RIZ.ExrPTC.5","RIZ.ExrPTC.6","RIZ.ExrPTC.7","RIZ.LH.MD9.0000.1","RIZ.LH.MD9.0000.2","RIZ.LH.MD9.0000.3","RIZ.LH.MD9.0000.4","RIZ.LH.MD9.0000.5","RIZ.LH.MD9.0000.6","RIZ.LH.MD9.0000.7","RIZ.LH.MD9.0000.8","RIZ.LH.MD9.0250.1","RIZ.LH.MD9.0250.2","RIZ.LH.MD9.0250.3","RIZ.LH.MD9.0250.4","RIZ.LH.MD9.0250.5","RIZ.LH.MD9.0250.6","RIZ.LH.MD9.0250.7","RIZ.LH.MD9.0250.8","RIZ.LH.MD9.0450.1","RIZ.LH.MD9.0450.2","RIZ.LH.MD9.0450.3","RIZ.LH.MD9.0450.4","RIZ.LH.MD9.0450.5","RIZ.LH.MD9.0450.6","RIZ.LH.MD9.0450.7","RIZ.LH.MD9.0450.8","RIZ.LH.MD9.0700.1","RIZ.LH.MD9.0700.2","RIZ.LH.MD9.0700.3","RIZ.LH.MD9.0700.4","RIZ.LH.MD9.0700.5","RIZ.LH.MD9.0700.6","RIZ.LH.MD9.0700.7","RIZ.LH.MD9.0700.8","RIZ.LH.MD9.0900.1","RIZ.LH.MD9.0900.2","RIZ.LH.MD9.0900.3","RIZ.LH.MD9.0900.4","RIZ.LH.MD9.0900.5","RIZ.LH.MD9.0900.6","RIZ.LH.MD9.0900.7","RIZ.LH.MD9.0900.8","RIZ.LH.MD9.1150.1","RIZ.LH.MD9.1150.2","RIZ.LH.MD9.1150.3","RIZ.LH.MD9.1150.4","RIZ.LH.MD9.1150.5","RIZ.LH.MD9.1150.6","RIZ.LH.MD9.1150.7","RIZ.LH.MD9.1150.8","RIZ.NM.MD9.1849.1","RIZ.NM.MD9.1849.2","RIZ.NM.MD9.1849.3","RIZ.NM.MD9.1849.4","RIZ.NM.MD9.1849.5","RIZ.NM.MD9.1849.6","RIZ.NM.MD9.1849.7","RIZ.NM.MD9.1849.8","RIZ.NM.MD9.2050.1","RIZ.NM.MD9.2050.2","RIZ.NM.MD9.2050.3","RIZ.NM.MD9.2050.4","RIZ.NM.MD9.2050.5","RIZ.NM.MD9.2050.6","RIZ.NM.MD9.2050.7","RIZ.NM.MD9.2050.8","RIZ.NM.MD9.2250.1","RIZ.NM.MD9.2250.2","RIZ.NM.MD9.2250.3","RIZ.NM.MD9.2250.4","RIZ.NM.MD9.2250.5","RIZ.NM.MD9.2250.6","RIZ.NM.MD9.2250.7","RIZ.NM.MD9.2250.8","RIZ.NM.MD9.2450.1","RIZ.NM.MD9.2450.3","RIZ.NM.MD9.2450.4","RIZ.NM.MD9.2450.5","RIZ.NM.MD9.2450.6","RIZ.NM.MD9.2450.7","RIZ.NM.MD9.2450.8","RIZ.NM.MD9.2650.1","RIZ.NM.MD9.2650.2","RIZ.NM.MD9.2650.3","RIZ.NM.MD9.2650.4","RIZ.NM.MD9.2650.5","RIZ.NM.MD9.2650.6","RIZ.NM.MD9.2650.7","RIZ.NM.MD9.2650.8","RIZ.TubNTC.4","RIZ.TubNTC.5","RIZ.TubNTC.7","RIZ.TubNTC.8","OTU","assignmentQual","taxID","superkingdom","phylum","class","order","family","genus","species"
"ASV_1",0,0,0,0,245,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,0,0,2,0,0,0,0,0,0,0,1,110626,0,1,50667,0,166426,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,41702,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,865,0,0,0,0,0,0,0,0,0,0,0,135227,0,0,0,"ASV_1","High","9606","Eukaryota","Chordata","Mammalia","Primates","Hominidae","Homo","Homo sapiens"
"ASV_2",0,0,0,0,161,261191,0,0,0,15346,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"ASV_2","High","113544","Eukaryota","Chordata","Actinopteri","Osteoglossiformes","Osteoglossidae","Arapaima","Arapaima gigas"
"ASV_3",0,0,0,0,0,0,0,0,209353,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"ASV_3","High-MH","None","Eukaryota","Chordata","Actinopteri","Cypriniformes","Cyprinidae",NA,NA
"ASV_4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,111964,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ASV_5",0,0,0,0,0,0,0,95157,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"ASV_5","Low","87785","Eukaryota","Chordata","Actinopteri","Atheriniformes","Atherinidae","Atherina","Atherina boyeri"
"ASV_6",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40113,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ASV_7",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26575,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ASV_8",0,0,0,0,0,0,0,0,0,0,0,0,24591,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"ASV_8","None","None",NA,NA,NA,NA,NA,NA,NA
"ASV_9",0,0,0,0,0,0,0,0,0,0,0,0,24356,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ASV_10",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23945,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
